Order Number,Order Time,用户ID,Delivery Date,订单投诉,Status,Total Price,Payment,Voucher Discount,Voucher,Coupon Discount,Coupon,Tax Price,Final Price,Refund,Customer Service,OS of App,,冷链包装费,支付宝手续费,会员券,配送费,到家/自提,班次,服务费
1599454514,7/13/2020 8:41,53576370751,7/16/2020,,已送达,124.62,信用卡支付,,,,,0.95,137.06,,,pc下单,,1.5,,0,9.99,到家,NY,0
1596495667,7/13/2020 8:45,5666108297,7/15/2020,,已送达,50.66,信用卡支付,,,,,0.72,52.88,14.59,,ios,2.3.1,1.5,,0,0,自提,DC,0
1603619110,7/13/2020 8:47,54647549636,7/18/2020,,已送达,115.76,PayPal,,,,,4.24,121.5,,,pc下单,,1.5,,0,0,自提,OT,0
1604228947,7/13/2020 8:57,53420326153,7/18/2020,,订单已取消【需要修改自提点和或时间 || 周六下午有事来不及取货。】,90.8,PayPal,,,,,0.94,93.24,93.24,,ios,2.3.1,1.5,,0,0,自提,NY,0
1603969089,7/13/2020 9:00,59691729520,7/18/2020,,已送达,252.84,信用卡支付,,,,,1.46,265.03,4.99,R-数量/重量不符,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1598157066,7/13/2020 9:02,55684594233,7/18/2020,,已送达,147.83,信用卡支付,,,,,0,149.06,,,ios,2.3.1,1.5,,0,0,自提,NY,0
1602177375,7/13/2020 9:05,52734776053,7/16/2020,,已送达,128.73,余额支付,,,,,0.94,140.89,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1595892344,7/13/2020 9:08,57191754398,7/16/2020,,已送达,99.95,信用卡支付,,,,,0,111.32,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1603855843,7/13/2020 9:09,59861753045,7/15/2020,,已送达,92.16,信用卡支付,,,,,1.03,94.41,9.49,,android,2.3.1,1.5,,0,0,自提,Boston,0
1603368514,7/13/2020 9:20,57671891567,7/16/2020,,已装车,31.24,信用卡支付,,,2,Employee Code,2.12,34.11,,,ios,2.3.1,1.5,,0,0,自提,NY,2
1596177489,7/13/2020 9:28,53440845526,7/16/2020,,已送达,197.68,信用卡支付,,,,,0.24,209.41,27.96,,pc下单,,1.5,,0,9.99,到家,NY,0
1595203714,7/13/2020 9:29,5706469270,7/16/2020,,已送达,200.2,信用卡支付,,,,,11.81,222,4.52,,pc下单,,,,0,9.99,到家,NY,0
1602140899,7/13/2020 9:31,52960742965,7/18/2020,,订单已取消【价格原因 || 重新买】,70.2,余额支付,,,,,0,71.47,71.47,,IPAD,2.3.1,1.5,,0,0,自提,OT,0
1601358925,7/13/2020 9:32,5999731617,7/18/2020,,已送达,73.29,信用卡支付,,,,,0.3,84.43,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1601264947,7/13/2020 9:34,52773216762,7/16/2020,,已送达,100.81,信用卡支付,1,7322167627,,,0,100.05,6.58,R-数量/重量不符,ios,2.3.1,1.5,,0,0,自提,NY,0
1597623038,7/13/2020 9:37,56273466529,7/18/2020,,已送达,97.11,余额支付,,,,,0,97.31,2,,android,2.3.1,1.5,,0,0,自提,OT,0
1601485817,7/13/2020 9:39,57431760892,7/15/2020,,已送达,251.39,PayPal,,,,,0,261.5,15.38,R-数量/重量不符,ios,2.3.1,1.5,,0,9.99,到家,Boston,0
1602309511,7/13/2020 9:40,58160118982,7/18/2020,,已送达,82.08,余额支付,,,,,3.18,84.26,1.99,,ios,2.3.1,,,0,0,自提,OT,0
1597466334,7/13/2020 9:41,57744339655,7/16/2020,,已送达,111.65,信用卡支付,,,,,0,112.98,3.49,,android,2.3.1,1.5,,0,0,自提,NY,0
1601095389,7/13/2020 9:41,52383216767,7/16/2020,普通投诉,退款已完成,153.77,信用卡支付,,,,,3.32,168.58,1.69,R-缺失商品,IPAD,2.3.1,1.5,,0,9.99,到家,NY,0
1597922042,7/13/2020 9:41,52720352703,7/16/2020,,已送达,70.04,信用卡支付,,,,,0,70.54,1.2,,android,2.3.1,1.5,,0,0,自提,NY,0
1604362434,7/13/2020 9:43,53620275909,7/16/2020,,已送达,50.81,信用卡支付,,,,,0,64.11,8.98,,ios,2.3.1,1.5,,0,9.99,到家,NY,2
1598559917,7/13/2020 9:53,56163180392,7/18/2020,普通投诉,已送达,76.07,余额支付,,,,,0,77.32,13.36,R-商品变质,ios,2.3.1,1.5,,0,0,自提,OT,0
1603774129,7/13/2020 9:55,56624072692,7/15/2020,,订单已取消【需要取消一件/多件商品 || 改变货物】,123.79,信用卡支付,,,,,0.99,133.27,133.27,,pc下单,,1.5,,0,6.99,到家,DC,0
1604468100,7/13/2020 9:59,5324157080,7/18/2020,,订单已取消【需要取消一件/多件商品 || 需要加商品】,77.58,PayPal,,,,,0,88.87,88.87,,ios,2.3.1,1.5,,0,9.99,到家,Boston,0
