Order Number,Order Time,Cust ID,Delivery Date,订单投诉,Status,Total Price,Payment,Voucher Discount,Voucher,Coupon Discount,Coupon,Tax Price,Final Price,Refund,Customer Service,OS of App,,冷链包装费,支付宝手续费,会员券,配送费,到家/自提,班次,服务费
1602309327,6/29/2020 2:51,55971810582,7/2/2020,,已送达,167.39,信用卡支付,,,,,3.37,182.25,,,pc下单,,1.5,,0,9.99,到家,NY,0
1594554623,6/29/2020 3:00,52766962793,7/4/2020,,已送达,70.44,余额支付,,,,,0,81.76,,,android,2.3.0,1.5,,0,9.99,到家,NY,0
1599224461,6/29/2020 3:09,52785734334,7/1/2020,,已送达,205.93,PayPal,,,,,0.78,212.29,18.67,,ios,2.3.0,1.5,,5,9.99,到家,Boston,0
1596484596,6/29/2020 3:19,5278577962,7/1/2020,,已送达,161.92,PayPal,,,,,0,172.57,14.98,,ios,2.3.0,1.5,,0,9.99,到家,Boston,0
1593749579,6/29/2020 3:19,53761731992,7/4/2020,,已送达,88.06,信用卡支付,,,,,3.14,91.56,,,ios,2.3.0,1.5,,0,0,自提,OT,0
1601755062,6/29/2020 3:20,59292928864,7/4/2020,,已送达,240.51,PayPal,,,,,0,252,16.14,,pc下单,,1.5,,0,9.99,到家,NY,0
1594918346,6/29/2020 3:20,59871813648,7/23/2020,,已送达,141.62,余额支付,10,1590064228,,,0.62,143.55,49.49,R-其他,android,2.2.4,1.5,,0,9.99,到家,NY,0
1595546128,6/29/2020 3:34,55061729764,7/5/2020,,已送达,201.5,余额支付,5,新FAF【邀请有礼】【邀请人】满$5减$5 活动至20201231结束,,,0.56,207.83,32.55,,android,2.2.4,1.5,,0,9.99,到家,Boston,0
1600028731,6/29/2020 3:43,52720153923,7/2/2020,,已送达,72.55,支付宝/微信,,,,,0.26,85.8,2,,pc下单,,1.5,1.5,0,9.99,到家,NY,0
1595726508,6/29/2020 3:54,58820389722,7/2/2020,,已送达,103.01,余额支付,,,,,0.27,103.58,8.99,,ios,2.3.0,1.5,,0,0,自提,NY,0
1597387081,6/29/2020 3:58,5366179741,7/2/2020,,已送达,193.36,PayPal,,,,,8.65,213.23,3.79,,ios,2.3.0,1.5,,0,9.99,到家,NY,0
1599786582,6/29/2020 4:01,52720153923,7/2/2020,,已送达,50.85,支付宝/微信,,,,,0,65.84,9.99,R-其他,pc下单,,1.5,1.5,0,9.99,到家,NY,2
1597550176,6/29/2020 4:16,58165062862,7/5/2020,,已送达,183.03,信用卡支付,,,,,8.24,192.6,10.58,,android,2.2.4,1.5,,0,0,自提,NY,0
1593978328,6/29/2020 4:26,56861468118,7/11/2020,,已送达,77,PayPal,,,,,0,78.5,,,ios,2.2.4,1.5,,0,0,自提,OT,0
1594828314,6/29/2020 4:35,59831460125,7/4/2020,,已送达,145.35,余额支付,,,,,4.7,151.55,9.37,,android,2.3.0,1.5,,0,0,自提,OT,0
1602351032,6/29/2020 4:49,59173431609,7/1/2020,,已送达,90.17,PayPal,,,,,0.27,101.93,18.78,,pc下单,,1.5,,0,9.99,到家,Boston,0
1602440528,6/29/2020 4:59,5962174516,7/2/2020,,已送达,70.55,PayPal,,,,,0,81.92,,,ios,2.2.4,1.5,,0,9.99,到家,NY,0
1600283462,6/29/2020 5:45,53476537260,7/21/2020,,订单已取消【需要修改自提点和或时间 || 日期不太合适】,87.61,余额支付,1,$1差价代金券  ,,,0,97.92,97.92,,ios,2.3.0,1.5,,0,9.99,到家,NY,0
1595687042,6/29/2020 5:48,59795999126,7/2/2020,,已送达,121.15,信用卡支付,,,,,1.6,122.99,,,ios,2.3.0,1.5,,0,0,自提,NY,0
1600094907,6/29/2020 6:03,56564662941,7/4/2020,,已送达,139.49,PayPal,,,,,0,148.73,,,ios,2.2.7,,,0,9.99,到家,NY,0
1599936651,6/29/2020 6:33,56761737383,7/2/2020,,订单已取消【需要取消一件/多件商品 || 补货】,157.68,信用卡支付,,,,,0,158.93,158.93,,ios,2.3.0,1.5,,0,0,自提,NY,0
1600240065,6/29/2020 6:36,53891712652,7/2/2020,,已送达,186.54,信用卡支付,,,,,1.53,196.56,6.49,,pc下单,,1.5,,0,6.99,到家,NY,0
1603266693,6/29/2020 6:46,52233923980,7/2/2020,,已送达,74.57,余额支付,,,,,0,86.06,2.69,,pc下单,,1.5,,0,9.99,到家,NY,0
1602673296,6/29/2020 6:57,57964665611,7/4/2020,,已送达,114.55,PayPal,,,,,1.46,126,1.52,,pc下单,,,,0,9.99,到家,NY,0
1593991164,6/29/2020 7:05,58434766096,7/2/2020,,已送达,88.61,信用卡支付,2,$2差价代金券  ,,,2.4,89.46,,,ios,2.3.0,1.5,,0,0,自提,NY,0
1600918724,6/29/2020 7:09,52373216369,7/1/2020,,已送达,64.28,信用卡支付,,,,,2.25,69.81,,,ios,2.3.0,1.5,,0,0,自提,Boston,2
1603071790,6/29/2020 7:16,52891770501,7/2/2020,,已送达,100.5,信用卡支付,,,,,2.66,113.93,,,ios,2.2.4,1.5,,0,9.99,到家,NY,0
1598237735,6/29/2020 7:35,54691721690,7/18/2020,,订单已取消【价格原因 || 訂多了東西】,73.26,信用卡支付,5,9174216906,,,0,79.75,79.75,,android,2.3.0,1.5,,0,9.99,到家,NY,0
1597421655,6/29/2020 7:37,53743428983,7/11/2020,,已送达,87.28,支付宝/微信,,,,,2.18,90.96,16.18,,pc下单,,,1.5,0,0,自提,OT,0
